date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2015-10-30,null,null,0.0,1.62,5655.0,null,
2015-10-31,null,null,0.0,1.7,3770.0,null,
2015-11-01,null,null,0.0,1.58,3332.0,null,
2015-11-02,null,null,0.0,1.68,4418.0,null,
2015-11-03,null,null,0.0,1.84,6808.0,null,
2015-11-04,null,null,0.0,2.08,9166.0,null,
2015-11-05,null,null,0.0,2.07,855.0,null,
2015-11-06,null,null,0.0,1.97,73.0,null,
2015-11-07,null,null,0.0,1.95,753.0,null,
2015-11-08,null,null,0.0,1.98,1092.0,null,
2015-11-09,null,null,0.0,1.93,4313.0,null,
2015-11-10,null,null,0.0,1.94,2087.0,null,
2015-11-11,null,null,0.0,1.75,6071.0,null,
2015-11-12,null,null,0.0,1.66,2958.0,null,
2015-11-13,null,null,0.0,1.62,820.0,null,
2015-11-14,null,null,0.0,1.61,518.0,null,
2015-11-15,null,null,0.0,1.6,60.0,null,
2015-11-16,null,null,0.0,1.56,478.0,null,
2015-11-17,null,null,0.0,1.62,700.0,null,
2015-11-18,null,null,0.0,1.64,44.0,null,
2015-11-19,null,null,0.0,1.64,67.0,null,
2015-11-20,null,null,0.0,1.59,207.0,null,
2015-11-21,null,null,0.0,1.58,84.0,null,
2015-11-22,null,null,0.0,1.6,185.0,null,
2015-11-23,null,null,0.0,1.59,298.0,null,
2015-11-24,null,null,0.0,1.53,20.0,null,
2015-11-25,null,null,0.0,1.53,83.0,null,
2015-11-26,null,null,0.0,1.59,170.0,null,
2015-11-27,null,null,0.0,1.66,165.0,null,
2015-11-28,null,null,0.0,1.71,510.0,null,
2015-11-29,null,null,0.0,1.74,371.0,null,
2015-11-30,null,null,0.0,1.78,510.0,null,
2015-12-01,null,null,0.0,1.51,445.0,null,
2015-12-02,null,null,0.0,1.56,86.0,null,
2015-12-03,null,null,0.0,1.55,187.0,null,
2015-12-04,null,null,0.0,1.56,230.0,null,
2015-12-05,null,null,0.0,1.63,612.0,null,
2015-12-06,null,null,0.0,1.84,548.0,null,
2015-12-07,null,null,0.0,1.83,36.0,null,
2015-12-08,null,null,0.0,1.66,155.0,null,
2015-12-09,null,null,0.0,1.87,129.0,null,
2015-12-10,null,null,0.0,1.67,580.0,null,
2015-12-11,null,null,0.0,1.89,208.0,null,
2015-12-12,null,null,0.0,2.18,512.0,null,
2015-12-13,null,null,0.0,2.11,2.0,null,
2015-12-14,null,null,0.0,2.17,2.0,null,
2015-12-15,null,null,0.0,2.13,259.0,null,
2015-12-16,null,null,0.0,2.29,236.0,null,
2015-12-17,null,null,0.0,2.3,113.0,null,
2015-12-18,null,null,0.0,2.19,113.0,null,
2015-12-19,null,null,0.0,2.34,1882.0,null,
2015-12-20,null,null,0.0,2.39,514.0,null,
2015-12-21,null,null,0.0,2.06,361.0,null,
2015-12-22,null,null,0.0,2.04,372.0,null,
2015-12-23,null,null,0.0,1.99,860.0,null,
2015-12-24,null,null,0.0,2.1,441.0,null,
2015-12-25,null,null,0.0,2.23,686.0,null,
2015-12-26,null,null,0.0,2.52,148.0,null,
2015-12-27,null,null,0.0,2.37,147.0,null,
2015-12-28,null,null,0.0,2.09,281.0,null,
2015-12-29,null,null,0.0,2.35,299.0,null,
2015-12-30,null,null,0.0,1.98,216.0,null,
2015-12-31,null,null,0.0,2.09,117.0,null,
2016-01-01,null,null,0.0,2.18,1364.0,null,
2016-01-02,null,null,0.0,2.17,149.0,null,
2016-01-03,null,null,0.0,2.21,366.0,null,
2016-01-04,null,null,0.0,2.06,449.0,null,
2016-01-05,null,null,0.0,2.38,731.0,null,
2016-01-06,null,null,0.0,2.01,390.0,null,
2016-01-07,null,null,0.0,2.04,925.0,null,
2016-01-08,null,null,0.0,1.97,288.0,null,
2016-01-09,null,null,0.0,2.4,879.0,null,
2016-01-10,null,null,0.0,2.17,244.0,null,
2016-01-11,null,null,0.0,2.29,89.0,null,
2016-01-12,null,null,0.0,2.31,337.0,null,
2016-01-13,null,null,0.0,2.3,310.0,null,
2016-01-14,null,null,0.0,2.29,46.0,null,
2016-01-15,null,null,0.0,2.18,691.0,null,
2016-01-16,null,null,0.0,1.93,700.0,null,
2016-01-17,null,null,0.0,2.05,67.0,null,
2016-01-18,null,null,0.0,2.02,460.0,null,
2016-01-19,null,null,0.0,2.09,809.0,null,
2016-01-20,null,null,0.0,2.16,1380.0,null,
2016-01-21,null,null,0.0,2.48,302.0,null,
2016-01-22,null,null,0.0,2.42,24.0,null,
2016-01-23,null,null,0.0,2.36666666667,89.3333333333,null,
2016-01-24,null,null,0.0,2.31333333333,154.666666667,null,
2016-01-25,null,null,0.0,2.26,220.0,null,
2016-01-26,null,null,0.0,2.16,1891.0,null,
2016-01-27,null,null,0.0,2.35,4223.0,null,
2016-01-28,null,null,0.0,2.85,1184.0,null,
2016-01-29,null,null,0.0,2.66,2189.0,null,
2016-01-30,null,null,0.0,2.58,1735.0,null,
2016-01-31,null,null,0.0,2.38,479.0,null,
2016-02-01,null,null,0.0,2.14,2033.0,null,
2016-02-02,null,null,0.0,2.37,943.0,null,
2016-02-03,null,null,0.0,2.25,2326.0,null,
2016-02-04,null,null,0.0,2.48,920.0,null,
2016-02-05,null,null,0.0,2.49,1048.0,null,
2016-02-06,null,null,0.0,2.88,1050.0,null,
2016-02-07,null,null,0.0,2.8,404.0,null,
2016-02-08,null,null,0.0,2.8,2112.0,null,
2016-02-09,null,null,0.0,2.78,781.0,null,
2016-02-10,null,null,0.0,2.78,1552.0,null,
2016-02-11,null,null,0.0,7.09,2122.0,null,
2016-02-12,null,null,0.0,3.19,10572.0,null,
2016-02-13,null,null,0.0,3.54,4840.0,null,
2016-02-14,null,null,0.0,3.76,1873.0,null,
2016-02-15,null,null,0.0,3.46,16200.0,null,
2016-02-16,null,null,0.0,3.77,4135.0,null,
2016-02-17,null,null,0.0,3.87,6218.0,null,
2016-02-18,null,null,0.0,4.17,2746.0,null,
2016-02-19,null,null,0.0,4.1,4840.0,null,
2016-02-20,null,null,0.0,4.19,4382.0,null,
2016-02-21,null,null,0.0,4.33,5238.0,null,
2016-02-22,null,null,0.0,4.25,3574.0,null,
2016-02-23,null,null,0.0,4.38,3159.0,null,
2016-02-24,null,null,0.0,4.25,11470.0,null,
2016-02-25,null,null,0.0,4.8,14119.0,null,
2016-02-26,null,null,0.0,4.63,3908.0,null,
2016-02-27,null,null,0.0,4.89,3924.0,null,
2016-02-28,null,null,0.0,4.39,9.0,null,
2016-02-29,null,null,0.0,5.08,5832.0,null,
2016-03-01,null,null,0.0,5.16,13615.0,null,
2016-03-02,null,null,0.0,5.18,30134.0,null,
2016-03-03,null,null,0.0,7.21,57120.0,null,
2016-03-04,null,null,0.0,8.01,20310.0,null,
2016-03-05,null,null,0.0,7.89,28457.0,null,
2016-03-06,null,null,0.0,7.21,18326.0,null,
2016-03-07,null,null,0.0,8.19,19487.0,null,
2016-03-08,null,null,0.0,8.5,25264.0,null,
2016-03-09,null,null,0.0,8.28,22374.0,null,
2016-03-10,null,null,0.0,8.17,43686.0,null,
2016-03-11,null,null,0.0,9.16,29441.0,null,
2016-03-12,null,null,0.0,9.3,65512.0,null,
2016-03-13,null,null,0.0,10.29,5436.0,null,
2016-03-14,null,null,0.0,10.17,20413.0,null,
2016-03-15,null,null,0.0,10.3,48919.0,null,
2016-03-16,null,null,0.0,12.92,127764.0,null,
2016-03-17,null,null,0.0,15.06,31184.0,null,
2016-03-18,null,null,0.0,12.66,8312.0,null,
2016-03-19,null,null,0.0,12.52,1721.0,null,
2016-03-20,null,null,0.0,14.36,3102.0,null,
2016-03-21,null,null,0.0,12.77,47335.0,null,
2016-03-22,null,null,0.0,11.6,46246.0,null,
2016-03-23,null,null,0.0,13.51,14210.0,null,
2016-03-24,null,null,0.0,12.13,17800.0,null,
2016-03-25,null,null,0.0,11.63,36710.0,null,
2016-03-26,null,null,0.0,11.52,60487.0,null,
2016-03-27,null,null,0.0,10.65,29161.0,null,
2016-03-28,null,null,0.0,11.09,56555.0,null,
2016-03-29,null,null,0.0,11.4,15626.0,null,
2016-03-30,null,null,0.0,9.4,2913.0,null,
2016-03-31,null,null,0.0,10.75,11651.0,null,
2016-04-01,null,null,0.0,9.96,16541.0,null,
2016-04-02,null,null,0.0,9.51,16642.0,null,
2016-04-03,null,null,0.0,9.52,25517.0,null,
2016-04-04,null,null,0.0,9.46,35980.0,null,
2016-04-05,null,null,0.0,9.03,31211.0,null,
2016-04-06,null,null,0.0,9.48,66404.0,null,
2016-04-07,null,null,0.0,9.4,78918.0,null,
2016-04-08,null,null,0.0,9.09,17254.0,null,
2016-04-09,null,null,0.0,8.42,6091.0,null,
2016-04-10,null,null,0.0,8.07,9347.0,null,
2016-04-11,null,null,0.0,7.68,19203.0,null,
2016-04-12,null,null,0.0,7.87,13931.0,null,
2016-04-13,null,null,0.0,6.84,2959.0,null,
2016-04-14,null,null,0.0,7.15,4024.0,null,
2016-04-15,null,null,0.0,6.92,1643.0,null,
2016-04-16,null,null,0.0,7.91,11407.0,null,
2016-04-17,null,null,0.0,7.19,10380.0,null,
2016-04-18,null,null,0.0,6.84,8141.0,null,
2016-04-19,null,null,0.0,8.15,20129.0,null,
2016-04-20,null,null,0.0,8.16,5595.0,null,
2016-04-21,null,null,0.0,7.95,4260.0,null,
2016-04-22,null,null,0.0,8.28,5405.0,null,
2016-04-23,null,null,0.0,7.21,6765.0,null,
2016-04-24,null,null,0.0,7.52,7498.0,null,
2016-04-25,null,null,0.0,7.48,11460.0,null,
2016-04-26,null,null,0.0,7.39,4763.0,null,
2016-04-27,null,null,0.0,6.92,4800.0,null,
2016-04-28,null,null,0.0,5.03,5158.0,null,
2016-04-29,null,null,0.0,6.94,5571.0,null,
2016-04-30,null,null,0.0,5.07,3815.0,null,
2016-05-01,null,null,0.0,5.25,8050.0,null,
2016-05-02,null,null,0.0,6.45,6882.0,null,
2016-05-03,null,null,0.0,7.04,5380.0,null,
2016-05-04,null,null,0.0,5.81,8935.0,null,
2016-05-05,null,null,0.0,6.48,4371.0,null,
2016-05-06,null,null,0.0,6.94,4975.0,null,
2016-05-07,null,null,0.0,5.74,8401.0,null,
2016-05-08,null,null,0.0,6.62,6475.0,null,
2016-05-09,null,null,0.0,5.96,3185.0,null,
2016-05-10,null,null,0.0,6.37,7262.0,null,
2016-05-11,null,null,0.0,7.17,6198.0,null,
2016-05-12,null,null,0.0,5.93,4455.0,null,
2016-05-13,null,null,0.0,6.69,3315.0,null,
2016-05-14,null,null,0.0,6.6,3313.0,null,
2016-05-15,null,null,0.0,6.6304950495,3294.31683168,null,
2016-05-16,null,null,0.0,6.66099009901,3275.63366337,null,
2016-05-17,null,null,0.0,6.69148514851,3256.95049505,null,
2016-05-18,null,null,0.0,6.72198019802,3238.26732673,null,
2016-05-19,null,null,0.0,6.75247524752,3219.58415842,null,
2016-05-20,null,null,0.0,6.78297029703,3200.9009901,null,
2016-05-21,null,null,0.0,6.81346534653,3182.21782178,null,
2016-05-22,null,null,0.0,6.84396039604,3163.53465347,null,
2016-05-23,null,null,0.0,6.87445544554,3144.85148515,null,
2016-05-24,null,null,0.0,6.90495049505,3126.16831683,null,
2016-05-25,null,null,0.0,6.93544554455,3107.48514851,null,
2016-05-26,null,null,0.0,6.96594059406,3088.8019802,null,
2016-05-27,null,null,0.0,6.99643564356,3070.11881188,null,
2016-05-28,null,null,0.0,7.02693069307,3051.43564356,null,
2016-05-29,null,null,0.0,7.05742574257,3032.75247525,null,
2016-05-30,null,null,0.0,7.08792079208,3014.06930693,null,
2016-05-31,null,null,0.0,7.11841584158,2995.38613861,null,
2016-06-01,null,null,0.0,7.14891089109,2976.7029703,null,
2016-06-02,null,null,0.0,7.17940594059,2958.01980198,null,
2016-06-03,null,null,0.0,7.2099009901,2939.33663366,null,
2016-06-04,null,null,0.0,7.2403960396,2920.65346535,null,
2016-06-05,null,null,0.0,7.27089108911,2901.97029703,null,
2016-06-06,null,null,0.0,7.30138613861,2883.28712871,null,
2016-06-07,null,null,0.0,7.33188118812,2864.6039604,null,
2016-06-08,null,null,0.0,7.36237623762,2845.92079208,null,
2016-06-09,null,null,0.0,7.39287128713,2827.23762376,null,
2016-06-10,null,null,0.0,7.42336633663,2808.55445545,null,
2016-06-11,null,null,0.0,7.45386138614,2789.87128713,null,
2016-06-12,null,null,0.0,7.48435643564,2771.18811881,null,
2016-06-13,null,null,0.0,7.51485148515,2752.5049505,null,
2016-06-14,null,null,0.0,7.54534653465,2733.82178218,null,
2016-06-15,null,null,0.0,7.57584158416,2715.13861386,null,
2016-06-16,null,null,0.0,7.60633663366,2696.45544554,null,
2016-06-17,null,null,0.0,7.63683168317,2677.77227723,null,
2016-06-18,null,null,0.0,7.66732673267,2659.08910891,null,
2016-06-19,null,null,0.0,7.69782178218,2640.40594059,null,
2016-06-20,null,null,0.0,7.72831683168,2621.72277228,null,
2016-06-21,null,null,0.0,7.75881188119,2603.03960396,null,
2016-06-22,null,null,0.0,7.78930693069,2584.35643564,null,
2016-06-23,null,null,0.0,7.8198019802,2565.67326733,null,
2016-06-24,null,null,0.0,7.8502970297,2546.99009901,null,
2016-06-25,null,null,0.0,7.88079207921,2528.30693069,null,
2016-06-26,null,null,0.0,7.91128712871,2509.62376238,null,
2016-06-27,null,null,0.0,7.94178217822,2490.94059406,null,
2016-06-28,null,null,0.0,7.97227722772,2472.25742574,null,
2016-06-29,null,null,0.0,8.00277227723,2453.57425743,null,
2016-06-30,null,null,0.0,8.03326732673,2434.89108911,null,
2016-07-01,null,null,0.0,8.06376237624,2416.20792079,null,
2016-07-02,null,null,0.0,8.09425742574,2397.52475248,null,
2016-07-03,null,null,0.0,8.12475247525,2378.84158416,null,
2016-07-04,null,null,0.0,8.15524752475,2360.15841584,null,
2016-07-05,null,null,0.0,8.18574257426,2341.47524752,null,
2016-07-06,null,null,0.0,8.21623762376,2322.79207921,null,
2016-07-07,null,null,0.0,8.24673267327,2304.10891089,null,
2016-07-08,null,null,0.0,8.27722772277,2285.42574257,null,
2016-07-09,null,null,0.0,8.30772277228,2266.74257426,null,
2016-07-10,null,null,0.0,8.33821782178,2248.05940594,null,
2016-07-11,null,null,0.0,8.36871287129,2229.37623762,null,
2016-07-12,null,null,0.0,8.39920792079,2210.69306931,null,
2016-07-13,null,null,0.0,8.4297029703,2192.00990099,null,
2016-07-14,null,null,0.0,8.4601980198,2173.32673267,null,
2016-07-15,null,null,0.0,8.49069306931,2154.64356436,null,
2016-07-16,null,null,0.0,8.52118811881,2135.96039604,null,
2016-07-17,null,null,0.0,8.55168316832,2117.27722772,null,
